source,target
debug,ms
minimatch,@isaacs/brace-expansion
strip-ansi,ansi-regex
string-width,get-east-asian-width
string-width,strip-ansi
brace-expansion,balanced-match
type-fest,tagged-tag
glob,minimatch
glob,minipass
glob,path-scurry
color-convert,color-name
wrap-ansi,strip-ansi
wrap-ansi,ansi-styles
wrap-ansi,string-width
readable-stream,abort-controller
readable-stream,buffer
readable-stream,events
readable-stream,process
readable-stream,string_decoder
find-up,locate-path
find-up,unicorn-magic
p-locate,p-limit
locate-path,p-locate
p-limit,yocto-queue
ajv,fast-uri
ajv,fast-deep-equal
ajv,require-from-string
ajv,json-schema-traverse
glob-parent,is-glob
is-fullwidth-code-point,get-east-asian-width
which,isexe
string_decoder,safe-buffer
iconv-lite,safer-buffer
js-yaml,argparse
@types/node,undici-types
yargs,cliui
yargs,escalade
yargs,get-caller-file
yargs,string-width
yargs,y18n
yargs,yargs-parser
fs-extra,jsonfile
fs-extra,graceful-fs
fs-extra,universalify
resolve,is-core-module
resolve,path-parse
resolve,supports-preserve-symlinks-flag
pretty-format,@jest/schemas
pretty-format,ansi-styles
pretty-format,react-is
cliui,string-width
cliui,strip-ansi
cliui,wrap-ansi
get-stream,@sec-ant/readable-stream
get-stream,is-stream
postcss,nanoid
postcss,picocolors
postcss,source-map-js
cross-spawn,which
cross-spawn,path-key
cross-spawn,shebang-command
rimraf,glob
rimraf,package-json-from-dist
form-data,asynckit
form-data,combined-stream
form-data,es-set-tostringtag
form-data,hasown
form-data,mime-types
@jridgewell/trace-mapping,@jridgewell/resolve-uri
@jridgewell/trace-mapping,@jridgewell/sourcemap-codec
mime-types,mime-db
@babel/types,@babel/helper-string-parser
@babel/types,@babel/helper-validator-identifier
whatwg-url,tr46
whatwg-url,webidl-conversions
eslint-scope,esrecurse
eslint-scope,estraverse
tr46,punycode
execa,figures
execa,is-stream
execa,pretty-ms
execa,get-stream
execa,cross-spawn
execa,signal-exit
execa,yoctocolors
execa,is-plain-obj
execa,npm-run-path
execa,human-signals
execa,strip-final-newline
execa,@sindresorhus/merge-streams
https-proxy-agent,debug
https-proxy-agent,agent-base
micromatch,braces
micromatch,picomatch
braces,fill-range
chokidar,readdirp
qs,side-channel
@jest/types,@jest/pattern
@jest/types,@jest/schemas
@jest/types,@types/istanbul-lib-coverage
@jest/types,@types/istanbul-reports
@jest/types,@types/node
@jest/types,@types/yargs
@jest/types,chalk
shebang-command,shebang-regex
buffer,base64-js
buffer,ieee754
@babel/parser,@babel/types
fill-range,to-regex-range
schema-utils,@types/json-schema
schema-utils,ajv
schema-utils,ajv-formats
schema-utils,ajv-keywords
onetime,mimic-function
get-intrinsic,gopd
get-intrinsic,hasown
get-intrinsic,es-errors
get-intrinsic,get-proto
get-intrinsic,has-symbols
get-intrinsic,function-bind
get-intrinsic,es-object-atoms
get-intrinsic,math-intrinsics
get-intrinsic,es-define-property
get-intrinsic,call-bind-apply-helpers
is-glob,is-extglob
parse-json,@babel/code-frame
parse-json,index-to-position
parse-json,type-fest
node-fetch,data-uri-to-buffer
node-fetch,fetch-blob
node-fetch,formdata-polyfill
hasown,function-bind
to-regex-range,is-number
npm-run-path,path-key
npm-run-path,unicorn-magic
browserslist,baseline-browser-mapping
browserslist,caniuse-lite
browserslist,electron-to-chromium
browserslist,node-releases
browserslist,update-browserslist-db
@babel/generator,@babel/parser
@babel/generator,@babel/types
@babel/generator,@jridgewell/gen-mapping
@babel/generator,@jridgewell/trace-mapping
@babel/generator,jsesc
doctrine,esutils
fast-glob,@nodelib/fs.stat
fast-glob,@nodelib/fs.walk
fast-glob,glob-parent
fast-glob,merge2
fast-glob,micromatch
jest-worker,@types/node
jest-worker,@ungap/structured-clone
jest-worker,jest-util
jest-worker,merge-stream
jest-worker,supports-color
@babel/traverse,@babel/code-frame
@babel/traverse,@babel/generator
@babel/traverse,@babel/helper-globals
@babel/traverse,@babel/parser
@babel/traverse,@babel/template
@babel/traverse,@babel/types
@babel/traverse,debug
cosmiconfig,env-paths
cosmiconfig,import-fresh
cosmiconfig,js-yaml
cosmiconfig,parse-json
jest-util,@jest/types
jest-util,@types/node
jest-util,chalk
jest-util,ci-info
jest-util,graceful-fs
jest-util,picomatch
