Source,Target,Type
187,259,Directed
259,1823,Directed
173,385,Directed
173,723,Directed
173,890,Directed
190,16,Directed
190,349,Directed
190,331,Directed
190,486,Directed
190,444,Directed
190,249,Directed
190,137,Directed
190,217,Directed
190,278,Directed
190,550,Directed
190,286,Directed
380,349,Directed
380,331,Directed
380,378,Directed
380,190,Directed
283,16,Directed
283,349,Directed
283,331,Directed
283,278,Directed
283,378,Directed
283,286,Directed
219,313,Directed
219,507,Directed
219,538,Directed
219,145,Directed
219,690,Directed
219,426,Directed
586,337,Directed
27,1040,Directed
27,425,Directed
465,10,Directed
13,55,Directed
13,57,Directed
13,2088,Directed
13,176,Directed
13,204,Directed
13,27,Directed
13,16,Directed
204,27,Directed
204,176,Directed
204,55,Directed
474,10,Directed
93,75,Directed
93,314,Directed
93,145,Directed
313,145,Directed
313,75,Directed
313,93,Directed
485,10,Directed
429,10,Directed
429,167,Directed
408,10,Directed
361,10,Directed
361,13,Directed
559,10,Directed
559,242,Directed
616,10,Directed
613,10,Directed
332,13,Directed
332,2088,Directed
332,10,Directed
332,333,Directed
332,91,Directed
332,14,Directed
623,10,Directed
549,10,Directed
549,242,Directed
561,204,Directed
561,10,Directed
625,10,Directed
617,10,Directed
471,13,Directed
471,10,Directed
471,14,Directed
489,10,Directed
632,10,Directed
642,10,Directed
645,10,Directed
565,10,Directed
565,333,Directed
569,10,Directed
569,19,Directed
639,10,Directed
477,10,Directed
477,250,Directed
477,373,Directed
809,10,Directed
587,1310,Directed
587,1126,Directed
458,10,Directed
458,19,Directed
576,10,Directed
576,167,Directed
656,10,Directed
666,10,Directed
548,10,Directed
548,167,Directed
432,167,Directed
432,10,Directed
432,425,Directed
432,13,Directed
649,10,Directed
614,372,Directed
614,14,Directed
614,10,Directed
614,465,Directed
614,408,Directed
11,2106,Directed
11,365,Directed
11,518,Directed
11,556,Directed
11,111,Directed
493,646,Directed
493,466,Directed
1119,10,Directed
1119,474,Directed
571,10,Directed
571,19,Directed
319,396,Directed
654,10,Directed
652,10,Directed
53,667,Directed
53,680,Directed
53,829,Directed
53,319,Directed
53,226,Directed
53,799,Directed
949,19,Directed
949,10,Directed
402,1461,Directed
402,70,Directed
402,1030,Directed
402,932,Directed
402,884,Directed
402,253,Directed
402,2173,Directed
402,492,Directed
1167,10,Directed
1167,485,Directed
671,10,Directed
356,1700,Directed
889,27,Directed
726,509,Directed
726,1584,Directed
1109,229,Directed
176,27,Directed
717,229,Directed
974,1106,Directed
974,726,Directed
989,70,Directed
989,1150,Directed
618,1106,Directed
618,717,Directed
1004,618,Directed
1004,407,Directed
492,70,Directed
492,161,Directed
492,884,Directed
492,352,Directed
253,1239,Directed
253,70,Directed
253,161,Directed
253,1106,Directed
253,407,Directed
253,1181,Directed
253,1064,Directed
253,938,Directed
253,197,Directed
253,587,Directed
253,1054,Directed
932,1181,Directed
938,229,Directed
352,1666,Directed
258,1983,Directed
258,312,Directed
258,343,Directed
258,366,Directed
258,135,Directed
258,2019,Directed
644,27,Directed
644,204,Directed
57,176,Directed
57,27,Directed
57,209,Directed
57,48,Directed
57,396,Directed
