Id,Label,RiskScore,InDegree,OutDegree,Betweenness,DependentsCount,Downloads,StalenessDays,ClusteringCoeff,MaintainerRisk,Type
1,jest,0.5974650054694023,2,4,0.0008585623303106726,2134838,147792241,68,0.13333333333333333,0.2,seed
2,@jest/core,0.5265021862206855,2,28,0.0006866205065467632,2595866,130688603,68,0.1413793103448276,0.2,seed
3,tslib,0.3944682770943868,156,0,0.0,1726336,1200303589,38,0.05099255583126551,0.125,seed
4,es-abstract,0.37991628609938943,17,54,0.000361926453400777,6024,237925500,191,0.03624647603705195,1.0,seed
5,cypress,0.34271657561465735,1,42,0.00037007411271144686,126733,27876237,3,0.0033222591362126247,0.5,dependency
6,@babel/helper-plugin-utils,0.3041101996418114,110,0,0.0,3527362,301252249,43,0.007506255212677231,0.25,seed
7,@smithy/types,0.25781931319563545,94,1,0.0,19741,294256779,25,0.10660694288913773,0.3333333333333333,seed
8,jest-snapshot,0.22443375263783127,6,21,0.00016987760444793542,2051196,147376006,68,0.09259259259259259,0.2,seed
9,request,0.22422473021474082,1,20,0.00019769905773307374,847768,59439287,53,0.009523809523809525,0.25,dependency
10,puppeteer,0.22197379533886225,1,6,0.00023662069566442848,144056,27315043,2,0.09523809523809523,0.5,dependency
11,call-bind,0.21387382844202846,36,4,8.90344754699479e-05,909951,277677171,365,0.0391025641025641,1.0,seed
12,debug,0.205113057445235,51,1,1.8348616141991226e-05,1419208,1846860152,83,0.011689291101055807,0.5,seed
13,express,0.20355328323542018,2,28,0.0001309687086111237,1853938,230958510,4,0.040229885057471264,0.2,seed
14,jest-config,0.20247803073136844,2,24,0.0001394494826791333,2051336,139906975,68,0.08307692307692308,0.2,seed
15,d3,0.2018895389310426,1,30,0.00015596323720692542,86366,24063233,202,0.03763440860215054,0.5,dependency
16,get-intrinsic,0.1937267420377464,22,10,8.147659310669912e-05,2347505,374205713,66,0.0907258064516129,1.0,seed
17,@aws-sdk/types,0.19224095358537846,57,2,0.0,75143,301876999,16,0.11864406779661017,0.5,seed
18,@aws-sdk/client-s3,0.18982183282811324,1,55,9.146119952204618e-05,9695,53097486,0,0.06623376623376623,0.5,dependency
19,firebase-admin,0.18662159108916235,1,11,0.0001729357071382673,75312,13199783,30,0.022727272727272728,0.25,dependency
20,google-auth-library,0.18329918642536208,3,7,0.00015397547045820968,165330,100898769,36,0.06666666666666667,1.0,dependency
21,@babel/core,0.1811256081367214,12,15,8.103972129379458e-05,3617515,314302543,43,0.045584045584045586,0.25,seed
22,@babel/traverse,0.1806596303923234,20,7,6.88073105324671e-05,4583249,330432404,43,0.04843304843304843,0.25,seed
23,@types/node,0.18063277338784747,42,1,1.376146210649342e-05,1060374,569923996,24,0.040420819490586936,1.0,seed
24,@babel/preset-env,0.17973781757192667,3,70,0.0,3369235,119911106,43,0.01445966514459665,0.25,seed
25,@jest/types,0.17139058857564166,26,7,3.440365526623355e-05,2802343,431360755,68,0.12310606060606061,0.2,seed
26,@aws-sdk/core,0.16954964138700981,32,13,7.948862093236607e-05,2,176478068,0,0.16616161616161615,0.5,seed
27,aws-sdk,0.1683916021433675,1,10,0.0001330493106200816,181897,40126569,253,0.03636363636363636,0.2,dependency
28,postcss-preset-env,0.16779167795493605,1,69,0.0,1638469,26479499,1,0.0037267080745341614,0.3333333333333333,seed
29,@babel/types,0.16752924066299799,32,2,1.5290513451659354e-05,4673471,447665707,43,0.029411764705882353,0.25,seed
30,postcss-value-parser,0.16679229004041968,39,0,0.0,3512274,234024499,1260,0.0020242914979757085,0.3333333333333333,seed
31,@jest/transform,0.16646521339205866,6,15,8.027519562121161e-05,2626228,182508751,68,0.12142857142857143,0.2,seed
32,@smithy/protocol-http,0.16325630867605856,45,2,0.0,18142,193833660,25,0.1614246068455134,0.3333333333333333,seed
33,jwks-rsa,0.1630195349870092,1,6,0.0001444953521181809,32652,22888688,18,0.0,0.022222222222222223,dependency
34,jest-cli,0.16262741575326417,1,10,0.00010313451323144235,2060983,143343187,68,0.18181818181818182,0.2,seed
35,@puppeteer/browsers,0.16142658874201102,2,7,0.00014564214062705536,4110,34762609,2,0.05555555555555555,0.5,dependency
36,winston,0.16078470820659246,1,11,0.00011238527386969626,285703,71988818,66,0.045454545454545456,0.125,dependency
37,jsonwebtoken,0.15977587548130012,3,10,9.877671689771943e-05,718942,110929858,1,0.01282051282051282,0.25,seed
38,got,0.15810122420080636,1,12,9.4801183400288e-05,1332017,114514987,13,0.019230769230769232,1.0,seed
39,@aws-sdk/credential-provider-node,0.156791289533941,18,12,5.0611599524992456e-05,71358,166374336,0,0.11264367816091954,0.5,seed
40,chalk,0.15567514603320853,32,0,0.0,1291351,1463358736,37,0.0846774193548387,1.0,seed
41,jest-runtime,0.15530780901744887,4,22,5.5428111262265154e-05,2048432,155954403,68,0.14461538461538462,0.2,seed
42,@jest/reporters,0.15345243238580752,1,23,5.925073962518e-05,2596799,142244219,68,0.07971014492753623,0.2,seed
43,@babel/helper-skip-transparent-expression-wrappers,0.1529872842457957,7,2,8.256877263896051e-05,2346435,144300697,43,0.05555555555555555,0.25,seed
44,execa,0.1527201857742123,3,12,7.415899024054786e-05,932013,420102007,6,0.009523809523809525,0.5,seed
45,@smithy/util-utf8,0.15241381685034228,35,2,1.2916460047322772e-05,14686,322627809,66,0.12612612612612611,0.3333333333333333,seed
46,util,0.15013927836639832,1,5,9.77282245467485e-05,701284,150457164,867,0.03333333333333333,0.16666666666666666,seed
47,@smithy/node-config-provider,0.1485890314413847,34,4,9.327213205512206e-06,14602,156031841,25,0.1770981507823613,0.3333333333333333,seed
48,babel-preset-current-node-syntax,0.14850185521580786,2,15,6.88073105324671e-05,1121475,137458487,128,0.0,1.0,seed
49,telecom-mas-agent,0.1481569013359716,1,83,0.0,0,599022368,84,0.0037639265281541705,1.0,seed
50,@smithy/smithy-client,0.14786388955252144,29,7,1.8348616141991226e-05,14665,156453022,2,0.2007936507936508,0.3333333333333333,seed
51,semver,0.14720069090244747,27,0,0.0,1325167,2074317967,59,0.01282051282051282,0.16666666666666666,seed
52,define-properties,0.1461557240247931,29,3,2.5611610031529417e-05,6903,240307273,624,0.011088709677419355,1.0,seed
53,cheerio,0.14479163816491913,1,11,8.25687726389605e-05,557077,55778270,53,0.07575757575757576,0.5,dependency
54,browserslist,0.14370386300677987,16,5,2.293577017748903e-05,4076082,357295797,2,0.03571428571428571,1.0,seed
55,jest-util,0.14256395011454545,22,6,3.0581026903318707e-06,2141628,330104366,68,0.1455026455026455,0.2,seed
56,glob,0.14032062155370328,8,3,4.587154035497806e-05,2105034,1018538143,11,0.02727272727272727,1.0,seed
57,gaxios,0.14015291166024763,4,4,8.256877263896051e-05,150668,116211110,36,0.07142857142857142,1.0,seed
58,postcss-selector-parser,0.1400895273441817,21,2,9.174308070995613e-06,3057693,285734245,8,0.001976284584980237,0.25,seed
59,@types/express,0.13991718169966982,3,3,7.33944645679649e-05,1528059,151008766,4,0.1,1.0,seed
60,which-typed-array,0.1376604472526126,5,7,5.434321292688552e-05,1061976,235032845,272,0.07575757575757576,1.0,seed
61,react-scripts,0.13758605133688095,0,48,0.0,1429227,11448362,222,0.0070921985815602835,0.2,seed
62,jest-runner,0.13747727445588648,2,22,3.2110078248484646e-05,1982094,141312061,68,0.13949275362318841,0.2,seed
63,jest-haste-map,0.13727254597244135,6,10,4.128438631948026e-05,2149746,193765350,68,0.1625,0.2,seed
64,minimatch,0.13668079569826572,15,1,1.8348616141991226e-05,2198462,1511701787,38,0.0125,1.0,seed
65,@aws-sdk/client-dynamodb,0.13640739613281405,1,42,4.035232404275171e-05,2498,16022696,0,0.08305647840531562,0.5,dependency
66,@firebase/database-compat,0.13619610983674063,1,6,9.174308070995613e-05,99485,25432978,1,0.23809523809523808,0.25,dependency
67,svelte,0.1360623746587267,1,15,8.256877263896051e-05,56439,7230385,0,0.0125,0.3333333333333333,dependency
68,find-up,0.13568912843612851,5,2,5.504584842597368e-05,1124485,735683208,81,0.023809523809523808,1.0,seed
69,cosmiconfig,0.13562167596109828,6,4,4.510701468239509e-05,3498872,349371343,740,0.0,0.5,seed
70,proxy-agent,0.13474117311605938,1,8,7.683483009458826e-05,174495,68695471,364,0.16666666666666666,1.0,dependency
71,@aws-sdk/client-lambda,0.13322016933246697,1,44,3.164075519463526e-05,1695,20326839,0,0.07727272727272727,0.5,dependency
72,jest-message-util,0.13308403169659513,10,9,2.2171244504906063e-05,2099364,230856012,68,0.14327485380116958,0.2,seed
73,eslint,0.132752927019539,1,34,0.0,1569244,291067230,7,0.011764705882352941,0.5,seed
74,@babel/helper-compilation-targets,0.13178329487614515,7,5,3.669723228398245e-05,2425898,260298306,43,0.06060606060606061,0.25,seed
75,@smithy/util-middleware,0.1309857315932335,29,2,0.0,14643,148236365,25,0.1827956989247312,0.3333333333333333,seed
76,@smithy/middleware-endpoint,0.13085597472368382,23,8,1.0703359416161549e-05,7810,146541189,2,0.2,0.3333333333333333,seed
77,form-data,0.13020609183735063,4,5,4.275336779037182e-05,1722210,465953493,19,0.08333333333333333,0.16666666666666666,seed
78,graceful-fs,0.12992361573194153,21,0,0.0,1159704,359986170,910,0.10476190476190476,1.0,seed
79,@aws-crypto/sha256-browser,0.1297961083562313,20,7,1.0864312189336909e-05,71363,95919776,197,0.1282051282051282,0.125,dependency
80,body-parser,0.12962439264122183,2,9,4.381278193666535e-05,1711280,229194383,4,0.1,0.3333333333333333,seed
81,http-signature,0.129547478485743,2,3,6.422015649696929e-05,905940,94393216,9,0.1,0.125,dependency
82,@smithy/node-http-handler,0.12892975130996506,22,5,1.3546792336359286e-05,14684,143091320,25,0.10826210826210826,0.3333333333333333,seed
83,workbox-build,0.12822209495180234,1,37,0.0,1446844,21612062,16,0.019203413940256046,0.1,seed
84,strip-ansi,0.12779280672623144,12,1,1.376146210649342e-05,2069298,1390744803,88,0.057692307692307696,1.0,seed
85,jest-circus,0.1277301092786958,1,20,2.5993872867820903e-05,1237144,126378250,68,0.09523809523809523,0.2,seed
86,@azure/storage-blob,0.12734729930993005,1,14,7.477061077861425e-05,11005,15345065,0,0.18571428571428572,0.2,dependency
87,@aws-sdk/middleware-user-agent,0.12730094057662436,21,7,0.0,71275,180249340,0,0.23677248677248677,0.5,seed
88,@smithy/util-base64,0.12714589102612553,26,3,1.4485749585782546e-06,14669,142262146,58,0.15024630541871922,0.3333333333333333,seed
89,ajv,0.12652504477544727,6,4,3.2110078248484646e-05,1087714,727735246,180,0.03333333333333333,0.5,seed
90,call-bound,0.12606321859969466,41,2,1.9659231580704884e-06,0,256539975,277,0.03322259136212625,1.0,seed
91,@smithy/url-parser,0.1259739516036672,23,3,9.174308070995613e-06,14646,147182798,25,0.13692307692307693,0.3333333333333333,seed
92,@aws-sdk/client-sso,0.12571564546761044,1,38,0.0,65608,168351085,0,0.0931174089068826,0.5,seed
93,pretty-format,0.12547964129720274,13,3,6.88073105324671e-06,2218177,541171141,68,0.075,0.2,seed
94,@jridgewell/trace-mapping,0.12529249174998147,13,2,1.1467885088744516e-05,1577545,450043708,86,0.0380952380952381,1.0,seed
95,@aws-sdk/util-endpoints,0.12527339693263861,22,5,0.0,49322,160150622,16,0.19230769230769232,0.5,seed
96,@smithy/fetch-http-handler,0.12489733841258165,22,5,6.010753563755746e-06,14661,161203133,25,0.13675213675213677,0.3333333333333333,seed
97,which-builtin-type,0.12464003662644974,1,13,4.128438631948026e-05,374956,138288865,357,0.07142857142857142,1.0,seed
98,@aws-sdk/middleware-recursion-detection,0.12450678871176099,20,5,4.5871540354978065e-06,53899,166786851,16,0.14166666666666666,0.5,seed
99,@smithy/middleware-retry,0.12446830138222426,20,9,4.5871540354978065e-06,14597,134060350,2,0.19088669950738915,0.3333333333333333,seed
100,@aws-sdk/util-user-agent-browser,0.12429435115327832,20,4,4.5871540354978065e-06,71285,172063773,16,0.11413043478260869,0.5,seed
101,side-channel,0.12416329646081162,4,5,3.4977049520670775e-05,2287311,209378386,359,0.1388888888888889,1.0,seed
102,cssnano-preset-default,0.12410976574207368,1,30,0.0,2415585,52222800,37,0.010752688172043012,0.14285714285714285,seed
103,@smithy/config-resolver,0.12393441761873399,22,6,3.75312602904366e-06,14597,122240372,25,0.20502645502645503,0.3333333333333333,seed
104,qs,0.12363955572273665,8,1,2.580274144967516e-05,2110964,433089113,325,0.013888888888888888,0.5,seed
105,string-width,0.12339183597989292,9,2,1.8348616141991226e-05,1106583,1180264673,95,0.08181818181818182,1.0,seed
106,@csstools/css-tokenizer,0.12326814323668658,28,0,0.0,10014,72598202,192,0.0,0.3333333333333333,dependency
107,gopd,0.12320153919544509,18,0,0.0,934090,330625525,366,0.06209150326797386,1.0,seed
