package,risk_score,community_group,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank,cascade_impact
es-abstract,0.6691415755027731,149,17,54,0.0003688071844540237,0.03624647603705195,6024,237925500,191,1.0,0.10897435897435898,0.6506024096385542,1.0,0.5590978834520665,0.8686826534801334,0.7300133936893238,0.963753523962948,seed,1878,2
tslib,0.3944682770943868,184,156,0,0.0,0.05099255583126551,1726336,1200303589,38,0.125,1.0,0.0,0.0,0.922540563982879,0.966824977904858,0.5086926152156804,0.9490074441687345,seed,737,3
get-intrinsic,0.3799008570455424,149,22,10,0.0001723240866002009,0.0907258064516129,2347505,374205713,66,1.0,0.14102564102564102,0.12048192771084337,0.4672470978441126,0.9422839148993225,0.8961445459948667,0.5838296967093995,0.9092741935483871,seed,428,1
@babel/core,0.3417456859902557,19,12,15,0.00015328739735288502,0.045584045584045586,3617515,314302543,43,0.25,0.07692307692307693,0.18072289156626506,0.4156301824212271,0.9700621879150874,0.8855654630067635,0.5254420444606398,0.9544159544159544,seed,141,2
side-channel,0.33389325308906825,149,4,5,0.00016972469931341884,0.1388888888888889,2287311,209378386,359,1.0,0.02564102564102564,0.060240963855421686,0.4601990049751243,0.9406152842044645,0.8609316462686617,0.8172969209766587,0.8611111111111112,seed,447,1
qs,0.3324934385791579,126,8,1,0.00016513754527792103,0.013888888888888888,2110964,433089113,325,0.5,0.05128205128205128,0.012048192771084338,0.44776119402985065,0.9354614117009846,0.9050067263491917,0.8035218858735781,0.9861111111111112,seed,524,1
jest-circus,0.3265224343851316,127,1,20,0.00015779809882112458,0.09523809523809523,1237144,126378250,69,0.2,0.00641025641025641,0.24096385542168675,0.427860696517413,0.9011370813880781,0.8303153918355115,0.5899117755238624,0.9047619047619048,seed,1040,3
jest-runner,0.3057591213803617,127,2,22,0.00013792043133396738,0.13949275362318841,1982094,141312061,69,0.2,0.01282051282051282,0.26506024096385544,0.3739635157545605,0.9314150698101763,0.8370886414006654,0.5899117755238624,0.8605072463768115,seed,600,1
babel-jest,0.30455381265162684,127,2,7,0.00014984703182626167,0.09722222222222222,2106569,166767023,69,0.2,0.01282051282051282,0.08433734939759036,0.4063018242122719,0.9353275317233625,0.8471327034681976,0.5899117755238624,0.9027777777777778,seed,526,1
@babel/helper-plugin-utils,0.3041101996418114,19,110,0,0.0,0.007506255212677231,3527362,301252249,43,0.25,0.7051282051282052,0.0,0.0,0.9684410362588298,0.8829937258081683,0.5254420444606398,0.9924937447873228,seed,149,7
