package,in_degree,out_degree,betweenness,is_topN,dependents_count,downloads,rank
@acemir/cssom,1,0,0.000000,False,0,5313859,0
@ampproject/remapping,0,2,0.000000,True,1514643,166629450,1787
@apideck/better-ajv-errors,1,3,0.000000,False,730394,17213682,0
@asamuzakjp/css-color,1,5,0.000000,False,0,53781335,0
@asamuzakjp/dom-selector,1,5,0.000000,False,0,16192913,0
@asamuzakjp/nwsapi,1,0,0.000000,False,0,10921629,0
@babel/code-frame,9,3,0.000183,False,943567,305453121,0
@babel/compat-data,4,0,0.000000,True,2427088,278139086,791
@babel/core,12,15,0.001112,True,3617515,314302543,340
@babel/eslint-parser,1,3,0.000000,False,855939,39660959,0
@babel/generator,3,5,0.000078,True,3757856,350965495,329
@babel/helper-annotate-as-pure,10,1,0.000000,True,3198809,194890549,391
@babel/helper-builder-binary-assignment-operator-visitor,0,2,0.000000,True,3105651,48998339,504
@babel/helper-builder-react-jsx,0,2,0.000000,True,1374955,3964458,1976
@babel/helper-call-delegate,0,2,0.000000,True,1382617,3054425,1967
@babel/helper-compilation-targets,7,5,0.000316,True,2425898,261026941,792
@babel/helper-create-class-features-plugin,10,7,0.000000,True,2629302,161790550,712
@babel/helper-create-regexp-features-plugin,9,3,0.000000,True,2469860,131164258,779
@babel/helper-define-map,0,2,0.000000,True,2280170,6475195,951
@babel/helper-define-polyfill-provider,3,5,0.000000,True,1820602,130978842,1373
@babel/helper-environment-visitor,1,1,0.000000,True,1614822,69097085,1729
@babel/helper-explode-assignable-expression,0,1,0.000000,True,3105138,21029454,506
@babel/helper-function-name,1,2,0.000000,True,3758398,87768509,328
@babel/helper-get-function-arity,0,1,0.000000,True,2992860,25808945,526
@babel/helper-globals,2,0,0.000000,False,0,124467194,0
@babel/helper-hoist-variables,1,1,0.000000,True,3318577,75923914,376
@babel/helper-member-expression-to-functions,2,2,0.000000,True,3285157,165881219,380
@babel/helper-module-imports,5,2,0.000000,True,3498086,289434959,352
@babel/helper-module-transforms,5,3,0.000042,True,3453731,289897185,359
@babel/helper-optimise-call-expression,2,1,0.000000,True,3288913,156105507,378
@babel/helper-plugin-utils,110,0,0.000000,True,3527362,292505806,348
@babel/helper-regex,0,1,0.000000,True,2134115,3043839,1108
@babel/helper-remap-async-to-generator,3,3,0.000000,True,3141904,124449211,399
@babel/helper-replace-supers,3,3,0.000000,True,3331023,162831465,373
@babel/helper-simple-access,0,2,0.000000,True,3498085,95401465,353
@babel/helper-skip-transparent-expression-wrappers,7,2,0.000000,True,2346435,144300697,928
@babel/helper-split-export-declaration,0,1,0.000000,True,3795636,100934721,308
@babel/helper-string-parser,1,0,0.000000,False,733858,283475594,0
