package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank
es-abstract,0.7260230698705454,17,54,0.0008891433572139916,0.03624647603705195,6024,237925500,190,1.0,0.10897435897435898,0.6506024096385542,1.0,0.5590978834520665,0.8688281637031674,0.7292883166749687,0.963753523962948,seed,1878
tslib,0.4838534935782999,156,0,0.0,0.05099255583126551,1726336,1200303589,38,0.125,1.0,0.0,0.0,0.922540563982879,0.9669869276313849,0.5086926152156804,0.9490074441687345,seed,737
@babel/traverse,0.43425940603645596,20,7,0.000261467780023375,0.04843304843304843,4583249,330432404,43,0.25,0.1282051282051282,0.08433734939759036,0.294067067927773,0.985261996632586,0.8887492346460837,0.5254420444606398,0.9515669515669516,seed,24
@babel/helper-plugin-utils,0.4252545785499406,110,0,0.0,0.007506255212677231,3527362,292505806,43,0.25,0.7051282051282052,0.0,0.0,0.9684410362588298,0.8813545941968427,0.5254420444606398,0.9924937447873228,seed,149
object.getownpropertydescriptors,0.3979560765076466,1,7,0.000308868371723519,0.23214285714285715,3015809,44144797,625,1.0,0.00641025641025641,0.08433734939759036,0.3473774720550301,0.9583762461905624,0.7666596255905371,0.8941162445090879,0.7678571428571428,seed,225
debug,0.3722220161668072,51,1,3.669723228398245e-05,0.011689291101055807,1419208,1842160492,83,0.5,0.3269230769230769,0.012048192771084338,0.041272570937231294,0.9099563963934711,0.9929684260094935,0.6152274760618052,0.9883107088989442,seed,952
get-intrinsic,0.37141496398779444,22,10,0.00012531667953167102,0.0907258064516129,2347505,374205713,66,1.0,0.14102564102564102,0.12048192771084337,0.1409409163493428,0.9422839148993225,0.8962946562707379,0.5838296967093995,0.9092741935483871,seed,428
@jest/types,0.3689684293597951,26,7,0.00011926600492294297,0.12310606060606061,2802343,431360755,68,0.2,0.16666666666666666,0.08433734939759036,0.13413585554600171,0.9536604635901313,0.9049157856989498,0.5879138715191917,0.8768939393939394,seed,284
@babel/preset-env,0.3660138665252845,3,70,0.0,0.01445966514459665,3369235,119911106,43,0.25,0.019230769230769232,0.8433734939759037,0.0,0.9654948346152049,0.827268463344794,0.5254420444606398,0.9855403348554034,seed,172
call-bind,0.3647675773786827,36,4,9.279157306092705e-05,0.0391025641025641,909951,277677171,364,1.0,0.23076923076923078,0.04819277108433735,0.10436064365557056,0.8814054172091302,0.8781991134351799,0.8192121504134072,0.9608974358974359,seed,1217
