step,targeted_lcc,random_lcc
0,1981,1981.0
1,1979,1979.2
2,1977,1978.4
3,1976,1977.4
4,1975,1976.6
5,1972,1974.4
6,1969,1973.4
7,1968,1970.2
8,1964,1967.4
9,1963,1964.2
10,1962,1963.0
11,1961,1961.8
12,1954,1960.2
13,1953,1959.0
14,1952,1956.0
15,1951,1954.6
16,1948,1953.8
17,1947,1952.8
18,1946,1951.6
19,1937,1949.4
20,1936,1948.6
21,1935,1947.6
22,1934,1946.4
23,1932,1945.4
24,1895,1944.6
25,1894,1943.0
26,1892,1941.8
27,1891,1938.8
28,1889,1938.0
29,1888,1936.8
30,1873,1935.0
31,1872,1933.8
32,1858,1932.6
33,1857,1932.0
34,1856,1930.6
35,1855,1928.8
36,1854,1927.8
37,1846,1926.8
38,1842,1925.8
39,1841,1924.4
40,1838,1923.0
41,1832,1922.2
42,1831,1919.0
43,1827,1917.6
44,1817,1916.2
45,1803,1908.6
46,1802,1907.6
47,1796,1906.0
48,1795,1905.2
49,1773,1902.8
50,1772,1901.4
51,1768,1900.4
52,1767,1899.2
53,1766,1898.2
54,1757,1897.0
55,1731,1895.6
56,1730,1894.6
57,1711,1893.6
58,1710,1892.4
59,1709,1891.6
60,1708,1888.2
61,1705,1887.4
62,1704,1886.2
63,1701,1885.0
64,1698,1884.0
65,1696,1883.0
66,1695,1881.8
67,1692,1880.6
68,1672,1879.6
69,1667,1878.2
70,1664,1877.2
71,1662,1876.6
72,1661,1875.4
73,1658,1874.2
74,1657,1872.2
75,1657,1871.0
76,1655,1870.0
77,1647,1868.8
78,1646,1867.8
79,1645,1867.0
80,1644,1865.8
81,1641,1864.8
82,1636,1864.0
83,1634,1862.4
84,1630,1861.2
85,1627,1860.2
86,1625,1859.2
87,1622,1857.8
88,1620,1856.6
89,1620,1855.8
90,1619,1853.0
91,1615,1852.4
92,1610,1850.6
93,1604,1848.8
94,1601,1847.8
95,1600,1846.4
96,1597,1845.4
97,1590,1843.6
98,1582,1842.2
99,1581,1841.0
100,1580,1839.6
101,1578,1838.6
102,1575,1838.0
103,1574,1837.4
104,1571,1836.6
105,1570,1835.4
106,1569,1834.2
107,1566,1833.2
108,1565,1831.8
109,1556,1830.6
110,1555,1829.6
111,1554,1826.4
112,1538,1825.4
113,1527,1824.6
114,1526,1823.4
115,1524,1822.2
116,1523,1821.2
117,1509,1820.2
118,1508,1815.6
119,1507,1814.8
120,1469,1814.2
121,1451,1813.4
122,1450,1812.0
123,1446,1811.2
124,1442,1810.0
125,1442,1808.4
126,1433,1807.4
127,1420,1806.4
128,1413,1805.4
129,1411,1804.0
130,1408,1803.0
131,1392,1802.0
132,1391,1801.4
133,1389,1800.6
134,1388,1799.6
135,1385,1798.4
136,1378,1796.6
137,1378,1795.6
138,1376,1794.0
139,1374,1791.6
140,1345,1785.8
141,1343,1784.6
142,1341,1780.6
143,1334,1779.6
144,1334,1778.6
145,1334,1777.6
146,1333,1776.4
147,1330,1775.2
148,1329,1774.0
149,1326,1772.0
150,1325,1770.2
151,1321,1769.0
152,1317,1768.0
153,1315,1766.4
154,1314,1766.0
155,1311,1765.0
156,1309,1764.0
157,1302,1763.0
158,1296,1761.4
159,1294,1760.0
160,1289,1759.4
161,1287,1758.4
162,1281,1757.4
163,1278,1756.2
164,1277,1755.0
165,1274,1754.0
166,1268,1751.2
167,1266,1749.8
168,1262,1749.0
169,1262,1746.8
170,1261,1745.6
171,1261,1744.0
172,1257,1743.2
173,1234,1741.6
174,1234,1740.0
175,1233,1738.8
176,1229,1738.0
177,1228,1732.4
178,1227,1730.0
179,1227,1729.2
180,1226,1728.2
181,1226,1727.0
182,1225,1726.2
183,1225,1724.8
184,1225,1720.4
185,1225,1719.2
186,1225,1718.4
187,1225,1717.0
188,1224,1715.8
189,1223,1713.0
190,1217,1712.0
191,1215,1711.0
192,1215,1710.0
193,1214,1709.2
194,1214,1708.2
195,1212,1707.2
196,1212,1706.0
197,1208,1705.0
198,1197,1704.4
199,1193,1703.6
200,1192,1702.8
201,1187,1701.6
202,1186,1701.0
203,1178,1700.0
204,1177,1699.0
205,1162,1698.2
206,1162,1697.4
207,1162,1695.2
208,1162,1694.0
209,1161,1693.2
210,1160,1692.2
211,1160,1691.2
212,1159,1690.2
213,1123,1689.2
214,1123,1688.4
215,1123,1686.6
216,1122,1685.8
217,1122,1684.4
218,1114,1683.2
219,1111,1682.6
220,1086,1681.2
221,1084,1679.2
222,1084,1678.0
223,1083,1677.0
224,1082,1675.8
225,1082,1675.4
226,1082,1674.4
227,1082,1673.0
228,1081,1672.0
229,1078,1671.0
230,1071,1669.6
231,1071,1667.4
232,1071,1666.4
233,1071,1665.2
234,1068,1664.2
235,1068,1663.4
236,1068,1662.0
237,1052,1660.6
238,1049,1660.2
239,1029,1659.0
240,1028,1656.8
241,1026,1656.0
242,1026,1655.0
243,1014,1654.2
244,1013,1652.8
245,1009,1651.4
246,1009,1650.6
247,1008,1650.2
248,952,1649.0
249,952,1648.2
250,952,1647.2
251,952,1646.0
252,949,1644.8
253,947,1643.2
254,943,1636.6
255,942,1635.2
256,942,1634.0
257,942,1633.4
258,941,1632.6
259,941,1631.6
260,941,1630.4
261,940,1629.2
262,940,1628.0
263,940,1626.2
264,940,1624.6
265,937,1623.8
266,932,1622.4
267,932,1621.6
268,915,1620.8
269,913,1618.0
270,884,1616.2
271,882,1615.0
272,881,1614.2
273,879,1613.2
274,879,1610.0
275,874,1608.8
276,872,1607.8
277,871,1606.4
278,871,1603.6
279,868,1602.6
280,868,1601.6
281,867,1600.6
282,858,1599.0
283,858,1597.8
284,858,1596.6
285,858,1595.4
286,858,1592.6
287,858,1589.2
288,858,1588.6
289,858,1587.2
290,858,1586.2
291,857,1584.4
292,855,1583.4
293,855,1582.4
294,855,1581.8
