package,betweenness
es-abstract,0.002675
jest-circus,0.001144
@babel/core,0.001112
babel-jest,0.001087
jest-runner,0.001000
jest-snapshot,0.000549
babel-preset-current-node-syntax,0.000499
babel-plugin-istanbul,0.000466
reflect.getprototypeof,0.000333
@babel/helper-compilation-targets,0.000316
micromatch,0.000316
babel-preset-jest,0.000299
which-builtin-type,0.000299
jest-haste-map,0.000266
@istanbuljs/load-nyc-config,0.000266
@jest/types,0.000211
@jest/transform,0.000211
typed-array-length,0.000208
browserslist,0.000200
jest-resolve,0.000200
