package,betweenness
@babel/core,0.001112
babel-jest,0.001087
jest-runner,0.001000
@babel/helper-create-class-features-plugin,0.000798
get-intrinsic,0.000771
jest-snapshot,0.000549
@babel/traverse,0.000523
babel-plugin-istanbul,0.000466
micromatch,0.000316
@babel/helper-compilation-targets,0.000316
babel-preset-jest,0.000299
@istanbuljs/load-nyc-config,0.000266
jest-haste-map,0.000266
@babel/generator,0.000244
@babel/types,0.000236
@jest/transform,0.000211
@jest/types,0.000211
browserslist,0.000200
jest-resolve,0.000200
jest-environment-node,0.000189
