package,betweenness,risk_score
es-abstract,0.0003188246803396,0.6637046040972152
jest-snapshot,0.0001833485467988,0.4628901672326644
@babel/core,0.0001509555940515,0.4428093241483412
@babel/traverse,0.0001500986302748,0.4480990121562089
workbox-build,0.0001426604905039,0.4319517035804229
@jest/transform,0.0001148470465354,0.3775781724528194
get-intrinsic,0.000111111974565,0.4046451644791294
jest,8.585623303106726e-05,0.3217164339625304
@babel/preset-env,8.40566572171412e-05,0.4198447543302926
browserslist,8.33402485449306e-05,0.3664790668719797
@babel/helper-compilation-targets,7.274809286296294e-05,0.3311826069491292
@jest/types,7.232412862634874e-05,0.3622851882598877
reflect.getprototypeof,6.884553681609625e-05,0.2970119063971277
@jest/core,6.866205065467632e-05,0.3308048247799839
@babel/generator,6.643728094745989e-05,0.3039801266478558
@aws-sdk/credential-provider-node,6.073391942999095e-05,0.3270927207082367
side-channel,5.9216335969913765e-05,0.2979670458873646
jest-message-util,5.880731473508187e-05,0.3132385728133424
jest-haste-map,5.5963279233073234e-05,0.3002902847587012
call-bind,5.508571297890122e-05,0.3666296392622583
