package,clustering,risk_score
powershell-utils,0.5,0.10364078455276535
@protobufjs/inquire,0.5,0.16086161241744967
lodash._reinterpolate,0.5,0.16109751805094058
@babel/plugin-transform-logical-assignment-operators,0.5,0.16103334235958816
@babel/plugin-transform-numeric-separator,0.5,0.16100764828989844
@babel/plugin-transform-nullish-coalescing-operator,0.5,0.16100600662533526
@types/serve-index,0.5,0.16099022714933248
@babel/plugin-proposal-export-namespace-from,0.5,0.16097807030615827
@babel/plugin-transform-json-strings,0.5,0.16072789088620523
d3-quadtree,0.5,0.15118586662912892
@colors/colors,0.5,0.1607034839365024
@protobufjs/aspromise,0.5,0.1605361033543352
@babel/plugin-transform-dynamic-import,0.5,0.16043510298142089
lodash.templatesettings,0.5,0.16036838491260705
pkg-up,0.5,0.1601252437965817
workbox-navigation-preload,0.5,0.15997809616531894
workbox-streams,0.5,0.16122151380474214
is-finalizationregistry,0.5,0.16138674804622213
@babel/plugin-proposal-logical-assignment-operators,0.5,0.16149256614568105
@babel/plugin-proposal-dynamic-import,0.5,0.16163536595880001
