package,downloads,risk_score
semver,2074317967,0.14720069090244747
ansi-styles,1847943178,0.10057150887621126
debug,1846860152,0.205113057445235
minimatch,1511701787,0.13668079569826572
chalk,1463358736,0.15567514603320853
supports-color,1451019156,0.10468564959534518
strip-ansi,1390744803,0.12779280672623144
ms,1277217112,0.1071418248078387
ansi-regex,1269473072,0.09549589791518813
tslib,1200303589,0.3944682770943868
string-width,1180264673,0.12339183597989292
brace-expansion,1104768464,0.09451831309054357
lru-cache,1081667393,0.11028728806801752
wrap-ansi,1026228024,0.11162551218733202
glob,1018538143,0.14032062155370328
type-fest,1014111247,0.12179611239244822
emoji-regex,992284135,0.09866496829392536
commander,969616053,0.10193712623583218
color-convert,969417687,0.0985743901960271
color-name,966612628,0.0966284147455691
