package,in_degree,risk_score
tslib,156,0.3944682770943868
@babel/helper-plugin-utils,110,0.3041101996418114
@smithy/types,94,0.25781931319563545
@aws-sdk/types,57,0.19224095358537846
debug,51,0.205113057445235
@smithy/protocol-http,45,0.16325630867605856
@types/node,42,0.18063277338784747
call-bound,41,0.12606321859969466
postcss-value-parser,39,0.16679229004041968
call-bind,36,0.21387382844202846
@smithy/util-utf8,35,0.15241381685034228
@smithy/node-config-provider,34,0.1485890314413847
es-errors,33,0.10783861304349697
chalk,32,0.15567514603320853
@babel/types,32,0.16752924066299799
@aws-sdk/core,32,0.16954964138700981
@smithy/smithy-client,29,0.14786388955252144
define-properties,29,0.1461557240247931
@smithy/util-middleware,29,0.1309857315932335
@csstools/css-tokenizer,28,0.12326814323668658
