Source,Target,Type
184,56,Directed
56,241,Directed
138,49,Directed
138,7,Directed
138,14,Directed
233,65,Directed
233,164,Directed
233,148,Directed
233,190,Directed
233,180,Directed
233,423,Directed
233,422,Directed
233,344,Directed
233,55,Directed
233,398,Directed
233,334,Directed
328,164,Directed
328,148,Directed
328,131,Directed
328,233,Directed
457,65,Directed
457,164,Directed
457,148,Directed
457,55,Directed
457,131,Directed
457,334,Directed
181,256,Directed
181,40,Directed
181,23,Directed
181,104,Directed
181,125,Directed
181,234,Directed
25,89,Directed
275,401,Directed
275,375,Directed
168,230,Directed
1,303,Directed
1,257,Directed
1,545,Directed
1,421,Directed
1,394,Directed
1,275,Directed
1,65,Directed
394,275,Directed
394,421,Directed
394,303,Directed
171,230,Directed
121,103,Directed
121,85,Directed
121,104,Directed
256,104,Directed
256,103,Directed
256,121,Directed
173,230,Directed
393,230,Directed
393,219,Directed
403,230,Directed
395,230,Directed
395,1,Directed
399,230,Directed
399,278,Directed
408,230,Directed
400,230,Directed
407,1,Directed
407,545,Directed
407,230,Directed
407,406,Directed
407,387,Directed
407,371,Directed
404,230,Directed
397,230,Directed
397,278,Directed
402,394,Directed
402,230,Directed
65,344,Directed
130,374,Directed
103,98,Directed
104,346,Directed
104,103,Directed
208,31,Directed
326,83,Directed
326,130,Directed
326,336,Directed
333,424,Directed
237,381,Directed
182,41,Directed
182,10,Directed
182,122,Directed
182,369,Directed
182,150,Directed
3,135,Directed
112,3,Directed
135,249,Directed
119,112,Directed
119,430,Directed
211,435,Directed
211,4,Directed
211,18,Directed
211,21,Directed
114,346,Directed
285,246,Directed
466,62,Directed
150,64,Directed
261,29,Directed
96,513,Directed
96,525,Directed
96,556,Directed
96,554,Directed
96,549,Directed
96,524,Directed
96,489,Directed
96,512,Directed
96,494,Directed
96,526,Directed
96,521,Directed
96,527,Directed
96,438,Directed
96,543,Directed
96,504,Directed
96,501,Directed
96,511,Directed
96,496,Directed
96,551,Directed
96,514,Directed
96,305,Directed
96,330,Directed
96,533,Directed
96,464,Directed
96,410,Directed
96,350,Directed
96,405,Directed
96,338,Directed
96,293,Directed
96,450,Directed
96,242,Directed
96,442,Directed
96,345,Directed
96,296,Directed
96,245,Directed
96,522,Directed
96,416,Directed
96,445,Directed
96,253,Directed
96,364,Directed
96,520,Directed
96,447,Directed
96,537,Directed
96,453,Directed
96,347,Directed
96,469,Directed
96,286,Directed
96,329,Directed
96,480,Directed
96,503,Directed
96,373,Directed
96,500,Directed
96,444,Directed
96,417,Directed
96,454,Directed
96,419,Directed
96,540,Directed
96,321,Directed
96,380,Directed
96,177,Directed
96,460,Directed
96,389,Directed
96,197,Directed
96,536,Directed
96,446,Directed
96,552,Directed
96,502,Directed
96,507,Directed
96,508,Directed
96,482,Directed
96,370,Directed
96,463,Directed
96,299,Directed
96,498,Directed
96,538,Directed
96,96,Directed
96,467,Directed
96,468,Directed
96,252,Directed
96,455,Directed
96,415,Directed
96,81,Directed
96,63,Directed
295,5,Directed
203,448,Directed
49,289,Directed
423,16,Directed
423,15,Directed
423,2,Directed
423,334,Directed
423,106,Directed
422,255,Directed
55,79,Directed
303,46,Directed
303,43,Directed
303,375,Directed
257,421,Directed
257,275,Directed
257,110,Directed
257,117,Directed
257,42,Directed
421,275,Directed
219,1,Directed
219,377,Directed
219,375,Directed
278,275,Directed
278,1,Directed
406,1,Directed
406,390,Directed
406,388,Directed
387,275,Directed
371,297,Directed
371,331,Directed
371,368,Directed
371,383,Directed
371,385,Directed
374,376,Directed
336,331,Directed
336,83,Directed
41,34,Directed
10,102,Directed
10,92,Directed
246,68,Directed
513,162,Directed
513,156,Directed
513,462,Directed
513,367,Directed
513,265,Directed
513,266,Directed
513,272,Directed
513,365,Directed
513,418,Directed
513,236,Directed
513,274,Directed
513,264,Directed
513,366,Directed
513,318,Directed
513,510,Directed
513,302,Directed
513,320,Directed
513,319,Directed
513,315,Directed
513,439,Directed
513,432,Directed
513,323,Directed
513,313,Directed
513,309,Directed
513,310,Directed
513,294,Directed
513,427,Directed
513,284,Directed
513,307,Directed
513,232,Directed
513,229,Directed
513,243,Directed
513,434,Directed
513,433,Directed
513,414,Directed
513,304,Directed
513,306,Directed
513,194,Directed
513,413,Directed
513,126,Directed
525,162,Directed
525,156,Directed
525,462,Directed
525,367,Directed
525,265,Directed
525,266,Directed
525,272,Directed
525,365,Directed
525,418,Directed
525,236,Directed
525,274,Directed
525,264,Directed
525,366,Directed
525,318,Directed
525,510,Directed
525,302,Directed
525,320,Directed
525,319,Directed
525,315,Directed
525,439,Directed
525,432,Directed
525,323,Directed
525,313,Directed
525,309,Directed
525,310,Directed
525,294,Directed
525,427,Directed
525,284,Directed
525,307,Directed
525,232,Directed
525,229,Directed
525,243,Directed
525,434,Directed
525,433,Directed
525,414,Directed
525,304,Directed
525,306,Directed
525,440,Directed
525,194,Directed
525,413,Directed
525,126,Directed
556,162,Directed
556,156,Directed
556,462,Directed
556,367,Directed
556,265,Directed
556,266,Directed
556,272,Directed
556,365,Directed
556,418,Directed
556,236,Directed
556,274,Directed
556,264,Directed
556,366,Directed
556,318,Directed
556,510,Directed
556,302,Directed
556,320,Directed
556,319,Directed
556,315,Directed
556,439,Directed
556,432,Directed
556,323,Directed
556,313,Directed
556,309,Directed
556,310,Directed
556,294,Directed
556,427,Directed
556,284,Directed
556,307,Directed
556,232,Directed
556,229,Directed
556,243,Directed
556,434,Directed
556,433,Directed
556,414,Directed
556,304,Directed
556,306,Directed
556,194,Directed
556,126,Directed
554,162,Directed
554,156,Directed
554,462,Directed
554,367,Directed
554,265,Directed
554,266,Directed
554,272,Directed
554,365,Directed
554,418,Directed
554,236,Directed
554,274,Directed
554,264,Directed
554,366,Directed
554,318,Directed
554,510,Directed
554,302,Directed
554,320,Directed
554,319,Directed
554,315,Directed
554,439,Directed
554,432,Directed
554,323,Directed
554,313,Directed
554,309,Directed
554,310,Directed
554,294,Directed
554,427,Directed
554,284,Directed
554,307,Directed
554,232,Directed
554,229,Directed
554,243,Directed
554,434,Directed
554,433,Directed
554,414,Directed
554,304,Directed
554,306,Directed
554,194,Directed
554,126,Directed
549,162,Directed
549,156,Directed
549,462,Directed
549,367,Directed
549,265,Directed
549,266,Directed
549,272,Directed
549,365,Directed
549,418,Directed
549,236,Directed
549,274,Directed
549,264,Directed
549,366,Directed
549,318,Directed
549,510,Directed
549,302,Directed
549,320,Directed
549,319,Directed
549,315,Directed
549,439,Directed
549,432,Directed
549,323,Directed
549,313,Directed
549,309,Directed
549,310,Directed
549,294,Directed
549,427,Directed
549,284,Directed
549,307,Directed
549,232,Directed
549,229,Directed
549,243,Directed
549,434,Directed
549,433,Directed
549,414,Directed
549,304,Directed
549,306,Directed
549,194,Directed
549,126,Directed
524,162,Directed
524,156,Directed
524,462,Directed
524,367,Directed
524,265,Directed
524,266,Directed
524,272,Directed
524,365,Directed
524,418,Directed
524,236,Directed
524,274,Directed
524,264,Directed
524,366,Directed
524,318,Directed
524,510,Directed
524,302,Directed
524,320,Directed
524,319,Directed
524,559,Directed
524,315,Directed
524,439,Directed
524,432,Directed
524,323,Directed
524,313,Directed
524,309,Directed
524,310,Directed
524,294,Directed
524,427,Directed
524,284,Directed
524,307,Directed
524,232,Directed
524,229,Directed
524,243,Directed
524,434,Directed
524,433,Directed
524,414,Directed
524,304,Directed
524,306,Directed
524,194,Directed
524,413,Directed
524,126,Directed
489,162,Directed
489,156,Directed
489,462,Directed
489,367,Directed
489,560,Directed
489,497,Directed
489,265,Directed
489,266,Directed
489,272,Directed
489,365,Directed
489,418,Directed
489,236,Directed
489,274,Directed
489,264,Directed
489,366,Directed
489,318,Directed
489,510,Directed
489,302,Directed
489,320,Directed
489,319,Directed
489,315,Directed
489,439,Directed
489,432,Directed
489,323,Directed
489,313,Directed
489,309,Directed
489,310,Directed
489,294,Directed
489,427,Directed
489,284,Directed
489,307,Directed
489,232,Directed
489,229,Directed
489,243,Directed
489,434,Directed
489,433,Directed
489,414,Directed
489,304,Directed
489,306,Directed
489,194,Directed
489,413,Directed
489,126,Directed
512,162,Directed
512,156,Directed
512,462,Directed
512,367,Directed
512,265,Directed
512,266,Directed
512,272,Directed
512,517,Directed
512,365,Directed
512,418,Directed
512,236,Directed
512,274,Directed
512,264,Directed
512,366,Directed
512,318,Directed
512,510,Directed
512,302,Directed
512,320,Directed
512,319,Directed
512,315,Directed
512,439,Directed
512,432,Directed
512,323,Directed
512,313,Directed
512,309,Directed
512,310,Directed
512,294,Directed
512,427,Directed
512,284,Directed
512,307,Directed
512,232,Directed
512,229,Directed
512,243,Directed
512,434,Directed
512,433,Directed
512,414,Directed
512,304,Directed
512,306,Directed
512,194,Directed
512,413,Directed
512,126,Directed
494,162,Directed
494,156,Directed
494,462,Directed
494,367,Directed
494,265,Directed
494,266,Directed
494,272,Directed
494,365,Directed
494,418,Directed
494,236,Directed
494,274,Directed
494,264,Directed
494,366,Directed
494,318,Directed
494,510,Directed
494,302,Directed
494,320,Directed
494,319,Directed
494,315,Directed
494,439,Directed
494,432,Directed
494,323,Directed
494,313,Directed
494,309,Directed
494,310,Directed
494,294,Directed
494,427,Directed
494,284,Directed
494,307,Directed
494,232,Directed
494,229,Directed
494,243,Directed
494,434,Directed
494,433,Directed
494,414,Directed
494,304,Directed
494,306,Directed
494,194,Directed
494,413,Directed
494,126,Directed
526,162,Directed
526,156,Directed
526,462,Directed
526,367,Directed
526,265,Directed
526,266,Directed
526,272,Directed
526,365,Directed
526,418,Directed
526,236,Directed
526,274,Directed
526,264,Directed
526,366,Directed
526,318,Directed
526,510,Directed
526,302,Directed
526,320,Directed
526,319,Directed
526,315,Directed
526,439,Directed
526,432,Directed
526,323,Directed
526,313,Directed
526,309,Directed
526,310,Directed
526,294,Directed
526,427,Directed
526,284,Directed
526,307,Directed
526,232,Directed
526,229,Directed
526,243,Directed
526,434,Directed
526,433,Directed
526,414,Directed
526,304,Directed
526,306,Directed
526,194,Directed
526,126,Directed
521,162,Directed
521,156,Directed
521,462,Directed
521,367,Directed
521,265,Directed
521,266,Directed
521,272,Directed
521,365,Directed
521,418,Directed
521,236,Directed
521,274,Directed
521,264,Directed
521,366,Directed
521,318,Directed
521,510,Directed
521,471,Directed
521,470,Directed
521,473,Directed
521,302,Directed
521,320,Directed
521,319,Directed
521,315,Directed
521,439,Directed
521,432,Directed
521,323,Directed
521,313,Directed
521,309,Directed
521,310,Directed
521,294,Directed
521,427,Directed
521,284,Directed
521,307,Directed
521,232,Directed
521,229,Directed
521,243,Directed
521,434,Directed
521,433,Directed
521,414,Directed
521,304,Directed
521,306,Directed
521,440,Directed
521,194,Directed
521,413,Directed
521,126,Directed
527,162,Directed
527,156,Directed
527,462,Directed
527,367,Directed
527,265,Directed
527,266,Directed
527,272,Directed
527,531,Directed
527,365,Directed
527,418,Directed
527,236,Directed
527,274,Directed
527,264,Directed
527,366,Directed
527,318,Directed
527,510,Directed
527,302,Directed
527,320,Directed
527,319,Directed
527,315,Directed
527,439,Directed
527,432,Directed
527,323,Directed
527,313,Directed
527,309,Directed
527,310,Directed
527,294,Directed
527,427,Directed
527,284,Directed
527,307,Directed
527,232,Directed
527,229,Directed
527,243,Directed
527,434,Directed
527,433,Directed
527,414,Directed
527,304,Directed
527,306,Directed
527,194,Directed
527,413,Directed
527,126,Directed
438,425,Directed
438,162,Directed
438,156,Directed
438,462,Directed
438,367,Directed
438,452,Directed
438,459,Directed
438,529,Directed
438,265,Directed
438,461,Directed
438,266,Directed
438,272,Directed
438,519,Directed
438,458,Directed
438,365,Directed
438,418,Directed
438,528,Directed
438,236,Directed
438,274,Directed
438,264,Directed
438,366,Directed
438,318,Directed
438,510,Directed
438,471,Directed
438,470,Directed
438,473,Directed
438,302,Directed
438,488,Directed
438,320,Directed
438,486,Directed
438,319,Directed
438,477,Directed
438,315,Directed
438,439,Directed
438,432,Directed
438,323,Directed
438,313,Directed
438,309,Directed
438,310,Directed
438,294,Directed
438,427,Directed
438,284,Directed
438,307,Directed
438,232,Directed
438,229,Directed
438,243,Directed
438,434,Directed
438,433,Directed
438,414,Directed
438,304,Directed
438,306,Directed
438,440,Directed
438,194,Directed
438,413,Directed
438,126,Directed
543,162,Directed
543,156,Directed
543,462,Directed
543,367,Directed
543,452,Directed
543,265,Directed
543,266,Directed
543,272,Directed
543,544,Directed
543,365,Directed
543,418,Directed
543,236,Directed
543,274,Directed
543,264,Directed
543,366,Directed
543,318,Directed
543,510,Directed
543,302,Directed
543,488,Directed
543,320,Directed
543,486,Directed
543,319,Directed
543,477,Directed
543,553,Directed
543,315,Directed
543,439,Directed
543,432,Directed
543,323,Directed
543,313,Directed
543,309,Directed
543,310,Directed
543,294,Directed
543,427,Directed
543,284,Directed
543,307,Directed
543,232,Directed
543,229,Directed
543,243,Directed
543,434,Directed
543,433,Directed
543,414,Directed
543,304,Directed
543,306,Directed
543,194,Directed
543,126,Directed
504,162,Directed
504,156,Directed
504,462,Directed
504,367,Directed
504,265,Directed
504,266,Directed
504,272,Directed
504,365,Directed
504,418,Directed
504,236,Directed
504,274,Directed
504,264,Directed
504,366,Directed
504,318,Directed
504,510,Directed
504,302,Directed
504,320,Directed
504,319,Directed
504,315,Directed
504,439,Directed
504,432,Directed
504,323,Directed
504,313,Directed
504,309,Directed
504,310,Directed
504,294,Directed
504,427,Directed
504,284,Directed
504,307,Directed
504,232,Directed
504,229,Directed
