Id,Label,RiskScore,InDegree,OutDegree,Betweenness,DependentsCount,Downloads,StalenessDays,ClusteringCoeff,MaintainerRisk,Type
1,@babel/traverse,0.6352302585172132,5,7,0.0009874263437654285,4583249,330432404,43,0.06818181818181818,0.25,seed
2,setprototypeof,0.5828835310745147,1,0,0.0,5068682,291712487,1257,0.0,1.0,seed
3,p-locate,0.5819488216556102,1,1,3.590641250056104e-05,1089447,755536014,896,0.0,1.0,seed
4,fast-deep-equal,0.5802521206353813,2,0,0.0,4968905,350162413,897,0.0,1.0,seed
5,safer-buffer,0.5787888649273365,1,0,0.0,2151694,305880793,1299,0.0,1.0,dependency
6,domhandler,0.5772460143913125,1,0,0.0,2836242,237217525,1268,0.0,1.0,dependency
7,path-parse,0.5769172953629503,1,0,0.0,1929330,295947707,1261,0.0,1.0,dependency
8,require-directory,0.5764314493055864,0,0,0.0,4338986,278669538,1258,0.0,1.0,seed
9,retry,0.5758085666260516,1,0,0.0,2613336,221969842,1258,0.0,1.0,dependency
10,buffer,0.5753499727176888,3,2,0.0,1513316,396983609,866,0.05,1.0,dependency
11,escape-string-regexp,0.5747257834317756,0,0,0.0,2044639,789913156,954,0.0,1.0,seed
12,once,0.5742878695008712,2,0,0.0,2121111,333854727,897,0.0,1.0,dependency
13,unpipe,0.5742091931386779,0,0,0.0,5053604,205708545,1256,0.0,1.0,seed
14,supports-preserve-symlinks-flag,0.5740786448179692,1,0,0.0,1245746,274255022,1296,0.0,1.0,dependency
15,inherits,0.5733332468673614,1,0,0.0,2323492,449338077,909,0.0,1.0,dependency
16,depd,0.5732610296737704,3,0,0.0,2556983,326595428,1269,0.16666666666666666,1.0,dependency
17,has-flag,0.5730425851036177,0,0,0.0,1287734,874161985,962,0.0,1.0,seed
18,require-from-string,0.5726236907364232,1,0,0.0,1639741,217933665,1258,0.0,1.0,dependency
19,utils-merge,0.5719549647987651,0,0,0.0,4948638,167785069,1256,0.0,1.0,seed
20,proxy-from-env,0.5719293721068286,2,0,0.0,559702,244311243,1259,0.0,1.0,dependency
21,json-schema-traverse,0.5716789338552003,1,0,0.0,1067963,641885640,897,0.0,1.0,seed
22,isarray,0.570427314949573,0,0,0.0,2097979,646283148,876,0.0,1.0,seed
23,get-caller-file,0.5700956267926888,1,0,0.0,4350442,297361612,817,0.0,1.0,seed
24,is-stream,0.569318730143889,2,0,0.0,2263687,463584979,654,0.0,1.0,dependency
25,uri-js,0.5683001193517072,0,1,0.0,4745435,266742441,896,0.0,1.0,seed
26,fast-json-stable-stringify,0.568036058856569,0,0,0.0,4957551,283366060,897,0.0,1.0,seed
27,fs.realpath,0.5679624264439925,0,0,0.0,5532257,262937430,897,0.0,1.0,seed
28,mkdirp,0.5670597858323323,1,0,0.0,1948611,444233599,759,0.0,1.0,dependency
29,argparse,0.5666320622806718,1,0,0.0,1075818,579861328,776,0.0,1.0,seed
30,to-fast-properties,0.5662463351521673,0,0,0.0,4631839,100739468,1257,0.0,1.0,seed
31,balanced-match,0.563896474352847,1,0,0.0,1303263,377443120,790,0.0,1.0,dependency
32,p-cancelable,0.5616195259310881,1,0,0.0,1122037,100477147,1235,0.0,1.0,dependency
33,xtend,0.5604445018190358,1,0,0.0,1446059,191405982,878,0.0,1.0,dependency
34,event-target-shim,0.5602219579416292,1,0,0.0,637867,116505594,1266,0.0,1.0,dependency
35,regenerator-runtime,0.559409884811766,0,0,0.0,4404245,239655676,720,0.0,1.0,seed
36,yallist,0.5572684624307633,0,0,0.0,1187300,701615198,604,0.0,1.0,seed
37,lowercase-keys,0.5560252801884575,1,0,0.0,1311902,121107263,909,0.0,1.0,dependency
38,har-validator,0.5534817747890152,1,0,0.0,684116,58484849,1265,0.0,1.0,dependency
39,busboy,0.5530676787229616,1,0,0.0,428463,75035006,1265,0.0,1.0,dependency
40,escalade,0.5517432101635585,1,0,0.0,2368706,341123642,462,0.0,1.0,dependency
41,abort-controller,0.5512794693453205,1,1,0.0,593406,123173568,876,0.0,1.0,dependency
42,jsesc,0.5506255934206592,1,0,0.0,4543338,402360179,359,0.0,1.0,seed
43,picocolors,0.5496686109809394,1,0,0.0,2113229,402137996,414,0.0,1.0,dependency
44,figures,0.5496277724232943,1,0,0.0,931471,207031001,640,0.0,1.0,dependency
45,import-local,0.5486809167786509,1,0,0.0,3448463,162218607,501,0.0,1.0,dependency
46,js-tokens,0.546242760329582,1,0,0.0,1940799,391672243,377,0.0,1.0,dependency
47,@colors/colors,0.5462222107602427,1,0,0.0,255801,141705353,879,0.0,1.0,dependency
48,cli-cursor,0.544519347080948,1,0,0.0,756236,283558090,497,0.0,1.0,dependency
49,is-core-module,0.5441370520817373,1,1,0.0,2348517,313697356,348,0.0,1.0,dependency
50,is-installed-globally,0.5431117034048745,1,0,0.0,1091810,63533269,759,0.0,1.0,dependency
51,append-field,0.542741086152525,1,0,0.0,281881,35552216,1271,0.0,1.0,dependency
52,executable,0.5411687731673056,1,0,0.0,291583,30249813,1266,0.0,1.0,dependency
53,data-uri-to-buffer,0.5407199864123681,1,0,0.0,371709,142213721,661,0.0,1.0,dependency
54,domutils,0.5406703078671281,1,0,0.0,3228971,235137277,332,0.0,1.0,dependency
55,on-finished,0.5393362436872902,5,1,1.795320625028052e-05,1780334,260003037,205,0.1,1.0,dependency
56,to-regex-range,0.5392218834317931,1,1,1.795320625028052e-05,5300496,358211999,1257,0.0,0.5,seed
57,htmlparser2,0.5387635170918658,1,0,0.0,2705632,195508009,346,0.0,1.0,dependency
58,jmespath,0.5385294507763795,1,0,0.0,136508,37584138,1265,0.0,1.0,dependency
59,request-progress,0.5382032833584386,1,0,0.0,238036,26223839,1258,0.0,1.0,dependency
60,vary,0.5374917001709492,3,0,0.0,4406042,198172139,205,0.0,1.0,seed
61,formdata-polyfill,0.5372477363962943,1,0,0.0,54660,58352801,1266,0.0,1.0,dependency
62,isexe,0.5331975415458111,1,0,0.0,5752,454550953,855,0.0,1.0,dependency
63,xmlbuilder,0.5330969300904487,3,0,0.0,1052988,159247796,876,0.3333333333333333,1.0,dependency
64,safe-buffer,0.5326067429394011,3,0,0.0,1261649,732936435,878,0.0,0.5,seed
65,debug,0.531507689212445,10,1,0.0001077192375016831,1419208,1842160492,82,0.03636363636363636,0.5,seed
66,@cypress/xvfb,0.5313854943924983,1,0,0.0,92179,23796360,1271,0.0,1.0,dependency
67,is-typedarray,0.5308768987609485,1,0,0.0,5513,130690405,1265,0.0,1.0,dependency
68,is-extglob,0.5308699360706287,1,0,0.0,5930,313635672,897,0.0,1.0,dependency
69,get-port,0.5308387583824825,1,0,0.0,439877,57583144,625,0.0,1.0,dependency
70,ospath,0.5298485711500613,1,0,0.0,70827,24671917,1261,0.0,1.0,dependency
71,aws-sign2,0.529134176954051,1,0,0.0,9743,76779515,1271,0.0,1.0,dependency
72,blob-util,0.5282002526621312,1,0,0.0,62400,22292537,1271,0.0,1.0,dependency
73,cachedir,0.527355855935122,1,0,0.0,152551,33183196,865,0.0,1.0,dependency
74,performance-now,0.5272095584493351,1,0,0.0,4469,105686498,1260,0.0,1.0,dependency
75,proxy-addr,0.5262493038350592,1,0,0.0,4050584,185236612,205,0.0,1.0,dependency
76,isstream,0.5262388674327539,1,0,0.0,5275,85982492,1265,0.0,1.0,dependency
77,supports-color,0.5261707236693994,1,0,0.0,5765200,1446848484,87,0.0,1.0,seed
78,toposort-class,0.5239797077069916,1,0,0.0,160427,8559698,1256,0.0,1.0,dependency
79,ee-first,0.5237906916788524,1,0,0.0,2438994,204174890,1268,0.0,0.5,dependency
80,accepts,0.5230988500255369,1,0,0.0,1717765,232420199,205,0.0,1.0,dependency
81,xml2js,0.5226260089973593,2,2,0.0,1065103,114020194,553,0.25,1.0,dependency
82,wkx,0.5215957042291909,1,0,0.0,160157,9419523,1113,0.0,1.0,dependency
83,minipass,0.521572789099297,2,0,0.0,3331406,687134177,560,0.5,1.0,seed
84,destroy,0.5213285482639918,0,0,0.0,4522290,177599571,1269,0.0,0.5,seed
85,ansi-styles,0.5190209387165492,1,0,0.0,1274606,1847943178,87,0.0,1.0,seed
86,safe-stable-stringify,0.5179070968524075,1,0,0.0,75803,107339564,467,0.0,1.0,dependency
87,signal-exit,0.5179069461070116,0,0,0.0,1770605,646839366,860,0.0,0.5,seed
88,scmp,0.5174481564225356,1,0,0.0,52086,9131433,1257,0.0,1.0,dependency
89,punycode,0.5171132379212313,1,0,0.0,2016724,466243042,766,0.0,0.5,dependency
90,long-timeout,0.5166583350966347,1,0,0.0,31182,11423249,1265,0.0,1.0,dependency
91,cosmiconfig,0.5165908535255499,1,0,0.0,3498872,346082762,740,0.0,0.5,dependency
92,ieee754,0.5158699674658368,2,0,0.0,1081327,247567922,866,0.5,1.0,dependency
93,bytes,0.5157916950938869,2,0,0.0,1080038,260646691,876,0.0,0.5,dependency
94,dottie,0.5156216380034626,1,0,0.0,161543,9155801,906,0.0,1.0,dependency
95,sorted-array-functions,0.5155123308105058,1,0,0.0,28319,11044648,1257,0.0,1.0,dependency
96,telecom-mas-agent,0.5153250094114868,1,83,0.0,0,599022368,83,0.0037639265281541705,1.0,seed
97,buffer-more-ints,0.5153218267549735,1,0,0.0,47191,7679485,1271,0.0,1.0,dependency
98,ansi-regex,0.5149205324834786,1,0,0.0,1239008,1267848471,87,0.0,1.0,seed
99,png-js,0.5142042637464647,1,0,0.0,29287,9478550,1260,0.0,1.0,dependency
100,@types/estree,0.5130440514677395,1,0,0.0,1849638,322433246,124,0.0,1.0,dependency
