package,risk_score
@babel/traverse,0.6352302585172132
setprototypeof,0.5828835310745147
p-locate,0.5819488216556102
fast-deep-equal,0.5802521206353813
safer-buffer,0.5787888649273365
domhandler,0.5772460143913125
path-parse,0.5769172953629503
require-directory,0.5764314493055864
retry,0.5758085666260516
buffer,0.5753499727176888
escape-string-regexp,0.5747257834317756
once,0.5742878695008712
unpipe,0.5742091931386779
supports-preserve-symlinks-flag,0.5740786448179692
inherits,0.5733332468673614
depd,0.5732610296737704
has-flag,0.5730425851036177
require-from-string,0.5726236907364232
utils-merge,0.5719549647987651
proxy-from-env,0.5719293721068286
json-schema-traverse,0.5716789338552003
isarray,0.570427314949573
get-caller-file,0.5700956267926888
is-stream,0.569318730143889
uri-js,0.5683001193517072
fast-json-stable-stringify,0.568036058856569
fs.realpath,0.5679624264439925
mkdirp,0.5670597858323323
argparse,0.5666320622806718
to-fast-properties,0.5662463351521673
balanced-match,0.563896474352847
p-cancelable,0.5616195259310881
xtend,0.5604445018190358
event-target-shim,0.5602219579416292
regenerator-runtime,0.559409884811766
yallist,0.5572684624307633
lowercase-keys,0.5560252801884575
har-validator,0.5534817747890152
busboy,0.5530676787229616
escalade,0.5517432101635585
abort-controller,0.5512794693453205
jsesc,0.5506255934206592
picocolors,0.5496686109809394
figures,0.5496277724232943
import-local,0.5486809167786509
js-tokens,0.546242760329582
@colors/colors,0.5462222107602427
cli-cursor,0.544519347080948
is-core-module,0.5441370520817373
is-installed-globally,0.5431117034048745
append-field,0.542741086152525
executable,0.5411687731673056
data-uri-to-buffer,0.5407199864123681
domutils,0.5406703078671281
on-finished,0.5393362436872902
to-regex-range,0.5392218834317931
htmlparser2,0.5387635170918658
jmespath,0.5385294507763795
request-progress,0.5382032833584386
vary,0.5374917001709492
formdata-polyfill,0.5372477363962943
isexe,0.5331975415458111
xmlbuilder,0.5330969300904487
safe-buffer,0.5326067429394011
debug,0.531507689212445
@cypress/xvfb,0.5313854943924983
is-typedarray,0.5308768987609485
is-extglob,0.5308699360706287
get-port,0.5308387583824825
ospath,0.5298485711500613
aws-sign2,0.529134176954051
blob-util,0.5282002526621312
cachedir,0.527355855935122
performance-now,0.5272095584493351
proxy-addr,0.5262493038350592
isstream,0.5262388674327539
supports-color,0.5261707236693994
toposort-class,0.5239797077069916
ee-first,0.5237906916788524
accepts,0.5230988500255369
xml2js,0.5226260089973593
wkx,0.5215957042291909
minipass,0.521572789099297
destroy,0.5213285482639918
ansi-styles,0.5190209387165492
safe-stable-stringify,0.5179070968524075
signal-exit,0.5179069461070116
scmp,0.5174481564225356
punycode,0.5171132379212313
long-timeout,0.5166583350966347
cosmiconfig,0.5165908535255499
ieee754,0.5158699674658368
bytes,0.5157916950938869
dottie,0.5156216380034626
sorted-array-functions,0.5155123308105058
telecom-mas-agent,0.5153250094114868
buffer-more-ints,0.5153218267549735
ansi-regex,0.5149205324834786
png-js,0.5142042637464647
@types/estree,0.5130440514677395
linebreak,0.5129079922360944
base64-js,0.5127337643457007
strip-ansi,0.5126550267583385
string-width,0.5118548633976658
is-electron,0.5114720748963617
toidentifier,0.5112030972538325
@jridgewell/sourcemap-codec,0.5107756041430185
common-tags,0.5101451844047151
tree-kill,0.510082914568383
@jridgewell/gen-mapping,0.5084189233473101
qs,0.5076883142912816
locate-path,0.5075418851992464
is-reference,0.5074251330431476
is-fullwidth-code-point,0.5067977438597058
clsx,0.5056005878236952
dom-serializer,0.5054164861056842
@jridgewell/trace-mapping,0.5050587328344428
querystring,0.5039037345707352
find-up,0.5037343215424943
aws4,0.5032137536600415
wrap-ansi,0.5031774350603958
events,0.5028276405631412
concat-stream,0.5025903714234182
combined-stream,0.5013937819623496
y18n,0.501113985447555
tslib,0.4989378222458906
@sendgrid/helpers,0.4985889683122501
locate-character,0.4985596046126609
eventemitter3,0.4984125505901662
minimatch,0.4982150040700972
parseurl,0.49815578472484
chalk,0.4975104249485698
enquirer,0.49718847356747364
lodash.isplainobject,0.4970827549137279
p-limit,0.4964503130838648
buffer-crc32,0.4964114009353975
extract-zip,0.4962286826442557
resolve,0.49584635920039366
@types/retry,0.49551428488690663
d3-interpolate,0.49476482151788215
eventemitter2,0.49424066860949556
d3-color,0.49381762349181013
lodash.isstring,0.4932934420134035
cacheable-lookup,0.4926978035337787
url-parse,0.4924847901252918
lodash.once,0.49223850359615795
detect-libc,0.4917112975896628
escape-html,0.49136406236566255
d3-timer,0.491083317543772
string_decoder,0.4906735667787916
lodash.isboolean,0.49051533353787585
https-proxy-agent,0.4902896229538254
axobject-query,0.49026057567636183
d3-path,0.4900993589713384
d3-ease,0.4899871262939942
@aws-crypto/sha256-js,0.4898905018904096
d3-time,0.48978839171113253
fontkit,0.4895928123843689
lodash.includes,0.489465026043158
lodash.isinteger,0.48934498711400976
lodash.isnumber,0.4892266995454645
@aws-crypto/sha256-browser,0.4880938043477635
mpath,0.48808282786670365
encodeurl,0.48788194044425803
d3-shape,0.487289513711493
d3-array,0.48720294180807755
fsevents,0.48708223216805513
@babel/plugin-syntax-object-rest-spread,0.48690687618510664
@types/debug,0.4867961747979257
cheerio-select,0.4864292766722812
@babel/plugin-syntax-optional-catch-binding,0.4864136815120509
oauth-sign,0.4863620604842648
@babel/plugin-syntax-json-strings,0.4859483238630391
d3-time-format,0.48560731337622476
d3-format,0.48554806003664885
pretty-bytes,0.48541877398630295
node-fetch,0.48537279689554486
@octokit/plugin-request-log,0.4852933855066536
d3-scale,0.48517924644857047
fresh,0.48510188218201855
yargs,0.4848427135560798
readable-stream,0.4847786602102505
log-symbols,0.48467296284993433
fill-range,0.48436304173981026
d3-dispatch,0.48410158547276616
d3-selection,0.48334096342040367
retry-as-promised,0.4832114888856922
arch,0.4830626711506415
d3-transition,0.48267040322948207
etag,0.48255876865891034
triple-beam,0.48219513891030674
cli-table3,0.48216578605999194
d3-drag,0.48208890615708855
@smithy/util-utf8,0.48169046927972137
d3-hierarchy,0.4812075719922342
d3-zoom,0.4810428732592451
oauth,0.48101131090879456
tmp,0.48090297615371524
date.js,0.4802221840764903
http2-wrapper,0.4797223008474585
p-retry,0.47953455521364974
merge-descriptors,0.479267748939841
@types/node,0.4792039642560476
d3-quadtree,0.4790719236191
json-stringify-safe,0.4790398714353882
cookie-signature,0.47898378188568314
d3-force,0.47897414754557277
brace-expansion,0.47874099655446334
d3-dsv,0.4785995379656578
content-type,0.47750163471267326
