package,risk_score,in_degree,out_degree,betweenness,clustering,dependents_count,downloads,staleness_days,maintainer_risk,in_degree_norm,out_degree_norm,betweenness_norm,dependents_count_norm,downloads_norm,staleness_norm,clustering_risk_norm,type,rank
@babel/traverse,0.6352302585172132,5,7,0.0009874263437654285,0.06818181818181818,4583249,330432404,43,0.25,0.25,0.08433734939759036,1.0,0.985261996632586,0.8092295829738744,0.5277721816193937,0.9318181818181819,seed,24
setprototypeof,0.5828835310745147,1,0,0.0,0.0,5068682,291712487,1257,1.0,0.05,0.0,0.0,0.9917289074012804,0.7962669496890795,0.9954197268273937,1.0,seed,8
p-locate,0.5819488216556102,1,1,3.590641250056104e-05,0.0,1089447,755536014,896,1.0,0.05,0.012048192771084338,0.03636363636363637,0.892970299311357,0.8952452397103133,0.9482486060180373,1.0,seed,195
fast-deep-equal,0.5802521206353813,2,0,0.0,0.0,4968905,350162413,897,1.0,0.1,0.0,0.0,0.9904517905731346,0.8152614122057319,0.9484040017874735,1.0,seed,13
safer-buffer,0.5787888649273365,1,0,0.0,0.0,2151694,305880793,1299,1.0,0.05,0.0,0.0,0.9366890268065683,0.8011996224667965,1.0,1.0,dependency,108
domhandler,0.5772460143913125,1,0,0.0,0.0,2836242,237217525,1268,1.0,0.05,0.0,0.0,0.9544328544457501,0.774759415923283,0.9966339367720459,1.0,dependency,80
path-parse,0.5769172953629503,1,0,0.0,0.0,1929330,295947707,1261,1.0,0.05,0.0,0.0,0.9296818875768165,0.7977661025199868,0.9958624817663504,1.0,dependency,132
require-directory,0.5764314493055864,0,0,0.0,0.0,4338986,278669538,1258,1.0,0.0,0.0,0.0,0.9817439000584983,0.7915094981888576,0.9955305474042538,1.0,seed,38
retry,0.5758085666260516,1,0,0.0,0.0,2613336,221969842,1258,1.0,0.05,0.0,0.0,0.9491749051303657,0.767849666321642,0.9955305474042538,1.0,dependency,85
buffer,0.5753499727176888,3,2,0.0,0.05,1513316,396983609,866,1.0,0.15,0.024096385542168676,0.0,0.9140806856169508,0.8283139567106991,0.9435043496535348,0.95,dependency,158
escape-string-regexp,0.5747257834317756,0,0,0.0,0.0,2044639,789913156,954,1.0,0.0,0.0,0.0,0.9334107445772943,0.8998730481920605,0.9569870207742005,1.0,seed,123
once,0.5742878695008712,2,0,0.0,0.0,2121111,333854727,897,1.0,0.1,0.0,0.0,0.9357694468118128,0.8103012446219523,0.9484040017874735,1.0,dependency,111
unpipe,0.5742091931386779,0,0,0.0,0.0,5053604,205708545,1256,1.0,0.0,0.0,0.0,0.9915375344033565,0.7599367607377638,0.995308818122829,1.0,seed,9
supports-preserve-symlinks-flag,0.5740786448179692,1,0,0.0,0.0,1245746,274255022,1296,1.0,0.05,0.0,0.0,0.9015821824561999,0.7898487066199603,0.9996777795517656,1.0,dependency,175
inherits,0.5733332468673614,1,0,0.0,0.0,2323492,449338077,909,1.0,0.05,0.0,0.0,0.941623440844027,0.8411982878837175,0.9502553699729347,1.0,dependency,99
depd,0.5732610296737704,3,0,0.0,0.16666666666666666,2556983,326595428,1269,1.0,0.15,0.0,0.0,0.9477745698780402,0.8080147993113411,0.9967437971074945,0.8333333333333334,dependency,89
has-flag,0.5730425851036177,0,0,0.0,0.0,1287734,874161985,962,1.0,0.0,0.0,0.0,0.903711607821179,0.9104133028563762,0.9581504701793107,1.0,seed,169
require-from-string,0.5726236907364232,1,0,0.0,0.0,1639741,217933665,1258,1.0,0.05,0.0,0.0,0.9192347406770531,0.7659410718786707,0.9955305474042538,1.0,dependency,152
utils-merge,0.5719549647987651,0,0,0.0,0.0,4948638,167785069,1256,1.0,0.0,0.0,0.0,0.9901892471265898,0.7387427646154022,0.995308818122829,1.0,seed,15
proxy-from-env,0.5719293721068286,2,0,0.0,0.0,559702,244311243,1259,1.0,0.1,0.0,0.0,0.850187159318876,0.7778240017627093,0.9956412799933503,1.0,dependency,259
json-schema-traverse,0.5716789338552003,1,0,0.0,0.0,1067963,641885640,897,1.0,0.05,0.0,0.0,0.8916908835401895,0.8782904514368661,0.9484040017874735,1.0,seed,207
isarray,0.570427314949573,0,0,0.0,0.0,2097979,646283148,876,1.0,0.0,0.0,0.0,0.9350650557611498,0.879000559171795,0.9451037672813927,1.0,seed,115
get-caller-file,0.5700956267926888,1,0,0.0,0.0,4350442,297361612,817,1.0,0.05,0.0,0.0,0.981913278158718,0.7982618135380183,0.9353905881150758,1.0,seed,37
is-stream,0.569318730143889,2,0,0.0,0.0,2263687,463584979,654,1.0,0.1,0.0,0.0,0.9399483764163,0.844444749042808,0.9043970879898912,1.0,dependency,103
uri-js,0.5683001193517072,0,1,0.0,0.0,4745435,266742441,896,1.0,0.0,0.012048192771084338,0.0,0.9874958360007172,0.7869599527091962,0.9482486060180373,1.0,seed,20
fast-json-stable-stringify,0.568036058856569,0,0,0.0,0.0,4957551,283366060,897,1.0,0.0,0.0,0.0,0.9903048404143288,0.7932477445764146,0.9484040017874735,1.0,seed,14
fs.realpath,0.5679624264439925,0,0,0.0,0.0,5532257,262937430,897,1.0,0.0,0.0,0.0,0.9973506109456963,0.7854656499192826,0.9484040017874735,1.0,seed,2
mkdirp,0.5670597858323323,1,0,0.0,0.0,1948611,444233599,759,1.0,0.05,0.0,0.0,0.9303206612401329,0.8400100172729603,0.9251335899051147,1.0,dependency,128
argparse,0.5666320622806718,1,0,0.0,0.0,1075818,579861328,776,1.0,0.05,0.0,0.0,0.8921616251628944,0.8677212325446829,0.9282188825495701,1.0,seed,202
to-fast-properties,0.5662463351521673,0,0,0.0,0.0,4631839,100739468,1257,1.0,0.0,0.0,0.0,0.985939430075537,0.6856844677913481,0.9954197268273937,1.0,seed,23
balanced-match,0.563896474352847,1,0,0.0,0.0,1303263,377443120,790,1.0,0.05,0.0,0.0,0.9044816184759865,0.8230642387065371,0.9307094431729729,1.0,dependency,166
p-cancelable,0.5616195259310881,1,0,0.0,0.0,1122037,100477147,1235,1.0,0.05,0.0,0.0,0.8948637190379057,0.6854132874812519,0.9929591263958615,1.0,dependency,183
xtend,0.5604445018190358,1,0,0.0,0.0,1446059,191405982,878,1.0,0.05,0.0,0.0,0.911160386912308,0.7524417083373749,0.9454214614703376,1.0,dependency,159
event-target-shim,0.5602219579416292,1,0,0.0,0.0,637867,116505594,1266,1.0,0.05,0.0,0.0,0.8585845470982644,0.7008071200280515,0.996413956144988,1.0,dependency,252
regenerator-runtime,0.559409884811766,0,0,0.0,0.0,4404245,239655676,720,1.0,0.0,0.0,0.0,0.9827028406828431,0.7758229469279555,0.917786530253431,1.0,seed,34
yallist,0.5572684624307633,0,0,0.0,0.0,1187300,701615198,604,1.0,0.0,0.0,0.0,0.8984954217504728,0.8875443860471107,0.893322408255025,1.0,seed,181
lowercase-keys,0.5560252801884575,1,0,0.0,0.0,1311902,121107263,909,1.0,0.05,0.0,0.0,0.9049060238907779,0.7048360380479276,0.9502553699729347,1.0,dependency,165
